code,Profession,DWA ID,Detailed Work Activity
13-2011.00,Accountants and Auditors,4.A.3.b.6.I01.D02,"Prepare financial documents, reports, or budgets."
13-2011.00,Accountants and Auditors,4.A.4.a.2.I03.D10,Report information to managers or other personnel.
13-2011.00,Accountants and Auditors,4.A.4.b.6.I05.D10,Advise others on business or operational matters.
13-2011.00,Accountants and Auditors,4.A.4.b.6.I11.D03,Advise others on financial matters.
13-2011.00,Accountants and Auditors,4.A.1.a.1.I03.D01,Collect evidence for legal proceedings.
13-2011.00,Accountants and Auditors,4.A.1.a.1.I03.D04,Investigate legal issues.
13-2011.00,Accountants and Auditors,4.A.2.a.3.I03.D02,Examine financial records.
13-2011.00,Accountants and Auditors,4.A.4.b.4.I12.D08,Oversee business processes.
13-2011.00,Accountants and Auditors,4.A.4.a.2.I06.D05,"Discuss business strategies, practices, or policies with managers."
13-2011.00,Accountants and Auditors,4.A.2.a.3.I03.D03,Examine financial records or processes.
13-2011.00,Accountants and Auditors,4.A.4.b.6.I11.D03,Advise others on financial matters.
13-2011.00,Accountants and Auditors,4.A.2.a.2.I01.D01,Verify accuracy of records.
13-2011.00,Accountants and Auditors,4.A.2.a.3.I03.D03,Examine financial records or processes.
13-2011.00,Accountants and Auditors,4.A.2.a.3.I03.D02,Examine financial records.
13-2011.00,Accountants and Auditors,4.A.2.a.3.I03.D03,Examine financial records or processes.
13-2011.00,Accountants and Auditors,4.A.2.a.4.I11.D04,Analyze business or financial data.
13-2011.00,Accountants and Auditors,4.A.2.a.4.I11.D02,Analyze financial information.
13-2011.00,Accountants and Auditors,4.A.3.b.6.I01.D01,Prepare financial documents.
13-2011.00,Accountants and Auditors,4.A.2.a.3.I03.D01,Conduct financial or regulatory audits.
13-2011.00,Accountants and Auditors,4.A.2.a.3.I03.D02,Examine financial records.
13-2011.00,Accountants and Auditors,4.A.3.b.6.I01.D01,Prepare financial documents.
