,Job Title,Company,Location,Date,Month,Count,Category
0,Physics Teacher,Jobs | Careers | Recruitment | Hiring Alerts Worldwide,"South, Lebanon",8/13/21,8,1,Teacher
1,3D Animator,Gboard,"Mount Lebanon, Lebanon",8/20/21,8,1,Animator
2,Copywriter,SabisÂ®,"Mount Lebanon, Lebanon",8/16/21,8,1,Copywriter
3,Assistant,"Gab Liquidations Buy, Sell, Rent Real Estate & Renovation Services.","Mount Lebanon, Lebanon",8/1/21,8,1,Assistant
4,Teacher,International School Of Innovation,"South, Lebanon",8/22/21,8,1,Teacher
5,Pharmacist Assistant,Pharmacy,"Mount Lebanon, Lebanon",8/18/21,8,1,Assistant
6,Pharmacist,Cherfan Pharmacies,"Mount Lebanon, Lebanon",8/5/21,8,1,Pharmacist
7,Digital Marketing Manager,Touch Of Art,"Mount Lebanon, Lebanon",8/9/21,8,1,Marketer
8,It - Business Intelligence Manager,Wooden Bakery,"Mount Lebanon, Lebanon",8/2/21,8,1,Manager
9,Operations Assistant,N N Rent A Car,"Mount Lebanon, Lebanon",8/2/21,8,1,Assistant
10,Graphic Designer,PoÃ¨Me Chocolate,"Mount Lebanon, Lebanon",8/12/21,8,1,Designer
11,Chief Operating Officer,Yaduna Whhc,"Mount Lebanon, Lebanon",8/2/21,8,1,Officer
12,Production Operator,A.B. Poultryco,"Mount Lebanon, Lebanon",8/5/21,8,1,Operator
13,Electrical Design Engineer,Mets Energy Sal,"Mount Lebanon, Lebanon",8/14/21,8,1,Designer
14,Graphic Designer,53Dots_Dar Al Kotob,"Mount Lebanon, Lebanon",8/5/21,8,1,Designer
15,Full-Stack Developer,Inhouse Production Ltd,"Beirut, Lebanon",8/13/21,8,1,Software Developer
16,Net Full Stack Engineer,Microtech Solutions S.A.L.,"Beirut, Lebanon",8/3/21,8,1,Engineer
17,"Human Resources Coordinators - Bekaa, Bml, North, South",Nrc Europe - Norwegian Refugee Council,"Beirut, Lebanon",8/20/21,8,1,Human Resource Specialist
18,Senior Ruby On Rails Developer â Full-Time,Toptal,"Beirut, Lebanon",8/18/21,8,1,Software Developer
19,Accountant,Presentail,"Beirut, Lebanon",8/2/21,8,1,Accountant
20,Acting/Lhif Country Coordinator (Parental Cover) - Beirut,International Rescue Committee,"Beirut, Lebanon",8/23/21,8,1,Coordinator
21,Africa Based - Commercial Manager,Editec,"Beirut, Lebanon",8/23/21,8,1,Manager
22,Android Developer,Quayo Mobility,"Beirut, Lebanon",8/4/21,8,1,Software Developer
23,Angular Developer,Human Capital Management,"Beirut, Lebanon",8/11/21,8,1,Software Developer
24,Arabic Digital Learning Glossary Consultant,"Unesco - United Nations Educational, Scientific And Cultural Organization","Beirut, Lebanon",8/16/21,8,1,Consultant
25,Arabic Writer - Content On Arab Youtubers,Studio Al Fankoosh,"Beirut, Lebanon",8/23/21,8,1,Writer
26,Assistant Manager,Al Maher Trading Est.,"Beirut, Lebanon",8/5/21,8,1,Manager
27,"Azure, D365 Fo/Ce, Data & Analytics, Ai/Ml, Azure Apps Champion",Netways,"Beirut, Lebanon",8/16/21,8,1,Analyst
28,Back End Lead / Staff Software Engineer (Bangkok Based â Relocation Provided),Agoda,"Beirut, Lebanon",8/13/21,8,1,Engineer
29,Back End Team â Engineer (Bangkok Based â Relocation Provided),Agoda,"Beirut, Lebanon",8/11/21,8,1,Engineer
30,Backend Software Developer,Podeo | Ù¨ÙØ¿ØØ,"Beirut, Lebanon",8/17/21,8,1,Software Developer
31,Business Development Support Junior Non-Key Experts (3 Individuals),Dai,"Beirut, Lebanon",8/15/21,8,1,Software Developer
32,Business Partner,Jeunesse Global,"Beirut, Lebanon",8/6/21,8,1,Business Specialist
33,Business Systems Analyst,International Rescue Committee,"Beirut, Lebanon",8/13/21,8,1,Analyst
34,Buying Executive - Car Transactions,Empg,"Beirut, Lebanon",8/17/21,8,1,Sales Person
