Skill,Category of Skill,Importance_n,Level,Code,Profession,Importance1
Active Listening ,Basic Skills,74,57,13-2011.00,accountant,74
Reading Comprehension,Basic Skills,74,58,13-2011.00,accountant,74
Critical Thinking,Basic Skills,72,55,13-2011.00,accountant,72
Speaking,Basic Skills,70,55,13-2011.00,accountant,70
Writing,Basic Skills,69,52,13-2011.00,accountant,69
Judgement and Decision Making,Systems Skills,63,54,13-2011.00,accountant,63
Complex Problem Solving,Complex Problem Solving,61,51,13-2011.00,accountant,61
Active learning ,Basic Skills,58,50,13-2011.00,accountant,58
Time Management,Resource Management Skills,56,48,13-2011.00,accountant,56
Systems Analysis,Systems Skills,55,52,13-2011.00,accountant,55
Persuasion,Social Skills,53,47,13-2011.00,accountant,53
Coordination,Social Skills,52,46,13-2011.00,accountant,52
Social Perceptiveness,Social Skills,52,45,13-2011.00,accountant,52
Negotiation,Social Skills,50,44,13-2011.00,accountant,50
Sevice Orientation,Social Skills,50,45,13-2011.00,accountant,50
Learning Strategies,Basic Skills,49,43,13-2011.00,accountant,49
Management of Personnel Resources,Resource Management Skills,49,44,13-2011.00,accountant,49
Systems Evaluation,Systems Skills,49,49,13-2011.00,accountant,49
Instructing,Social Skills,47,46,13-2011.00,accountant,47
Reading Comprehension,Basic Skills,72,55,27-2011.00,Actor,72
Speaking,Basic Skills,72,57,27-2011.00,Actor,72
Active Listening ,Basic Skills,69,52,27-2011.00,Actor,69
Social Perceptiveness,Social Skills,69,54,27-2011.00,Actor,69
Critical Thinking,Basic Skills,50,43,27-2011.00,Actor,50
Time Management,Resource Management Skills,50,43,27-2011.00,Actor,50
Writing,Basic Skills,47,48,27-2011.00,Actor,47
Coordination,Social Skills,47,43,27-2011.00,Actor,47
Complex Problem Solving,Complex Problem Solving,47,37,27-2011.00,Actor,47
Judgement and Decision Making,Systems Skills,47,43,27-2011.00,Actor,47
Learning Strategies,Basic Skills,44,36,27-2011.00,Actor,44
Instructing,Social Skills,44,37,27-2011.00,Actor,44
Active learning ,Basic Skills,41,37,27-2011.00,Actor,41
Critical Thinking,Basic Skills,81,68,15-2011.00,Actuary,81
Judgement and Decision Making,Systems Skills,81,68,15-2011.00,Actuary,81
Reading Comprehension,Basic Skills,78,66,15-2011.00,Actuary,78
Active Listening ,Basic Skills,75,59,15-2011.00,Actuary,75
Complex Problem Solving,Complex Problem Solving,75,66,15-2011.00,Actuary,75
Systems Evaluation,Systems Skills,75,64,15-2011.00,Actuary,75
Speaking,Basic Skills,72,57,15-2011.00,Actuary,72
Systems Analysis,Systems Skills,72,64,15-2011.00,Actuary,72
Active learning ,Basic Skills,60,59,15-2011.00,Actuary,60
Writing,Basic Skills,60,57,15-2011.00,Actuary,60
Operations Analysis,Technical Skills,56,48,15-2011.00,Actuary,56
Time Management,Resource Management Skills,53,50,15-2011.00,Actuary,53
Learning Strategies,Basic Skills,50,50,15-2011.00,Actuary,50
Coordination,Social Skills,50,43,15-2011.00,Actuary,50
Instructing,Social Skills,50,50,15-2011.00,Actuary,50
Negotiation,Social Skills,50,45,15-2011.00,Actuary,50
Persuasion,Social Skills,50,52,15-2011.00,Actuary,50
Sevice Orientation,Social Skills,47,45,15-2011.00,Actuary,47
Social Perceptiveness,Social Skills,47,41,15-2011.00,Actuary,47
Management of Personnel Resources,Resource Management Skills,44,41,15-2011.00,Actuary,44
Management of Financial Resources,Resource Management Skills,41,48,15-2011.00,Actuary,41
Active Listening ,Basic Skills,72,57,29-1291.00,Acupuncturist,72
Critical Thinking,Basic Skills,69,55,29-1291.00,Acupuncturist,69
Social Perceptiveness,Social Skills,69,55,29-1291.00,Acupuncturist,69
Sevice Orientation,Social Skills,66,50,29-1291.00,Acupuncturist,66
Speaking,Basic Skills,63,55,29-1291.00,Acupuncturist,63
Judgement and Decision Making,Systems Skills,63,52,29-1291.00,Acupuncturist,63
Reading Comprehension,Basic Skills,60,57,29-1291.00,Acupuncturist,60
Active learning ,Basic Skills,53,46,29-1291.00,Acupuncturist,53
Writing,Basic Skills,53,50,29-1291.00,Acupuncturist,53
Complex Problem Solving,Complex Problem Solving,53,45,29-1291.00,Acupuncturist,53
Coordination,Social Skills,50,41,29-1291.00,Acupuncturist,50
Time Management,Resource Management Skills,50,41,29-1291.00,Acupuncturist,50
Systems Analysis,Systems Skills,47,41,29-1291.00,Acupuncturist,47
Systems Evaluation,Systems Skills,47,41,29-1291.00,Acupuncturist,47
Instructing,Social Skills,44,41,29-1291.00,Acupuncturist,44
Learning Strategies,Basic Skills,41,41,29-1291.00,Acupuncturist,41
Persuasion,Social Skills,41,39,29-1291.00,Acupuncturist,41
Active Listening ,Basic Skills,75,55,29-1141.01,Acute Care Nurse,75
Critical Thinking,Basic Skills,75,57,29-1141.01,Acute Care Nurse,75
Reading Comprehension,Basic Skills,75,64,29-1141.01,Acute Care Nurse,75
Speaking,Basic Skills,75,57,29-1141.01,Acute Care Nurse,75
Sevice Orientation,Social Skills,75,55,29-1141.01,Acute Care Nurse,75
Social Perceptiveness,Social Skills,75,66,29-1141.01,Acute Care Nurse,75
Active learning ,Basic Skills,69,55,29-1141.01,Acute Care Nurse,69
Coordination,Social Skills,69,55,29-1141.01,Acute Care Nurse,69
Complex Problem Solving,Complex Problem Solving,69,54,29-1141.01,Acute Care Nurse,69
Judgement and Decision Making,Systems Skills,69,57,29-1141.01,Acute Care Nurse,69
Writing,Basic Skills,63,52,29-1141.01,Acute Care Nurse,63
Instructing,Social Skills,60,57,29-1141.01,Acute Care Nurse,60
Learning Strategies,Basic Skills,53,52,29-1141.01,Acute Care Nurse,53
Time Management,Resource Management Skills,53,46,29-1141.01,Acute Care Nurse,53
Science,Basic Skills,50,45,29-1141.01,Acute Care Nurse,50
Negotiation,Social Skills,50,45,29-1141.01,Acute Care Nurse,50
Persuasion,Social Skills,50,45,29-1141.01,Acute Care Nurse,50
Management of Personnel Resources,Resource Management Skills,50,43,29-1141.01,Acute Care Nurse,50
Systems Analysis,Systems Skills,50,45,29-1141.01,Acute Care Nurse,50
Systems Evaluation,Systems Skills,50,46,29-1141.01,Acute Care Nurse,50
Operation Monitoring,Technical Skills,50,43,29-1141.01,Acute Care Nurse,50
Operation and Control,Technical Skills,47,39,29-1141.01,Acute Care Nurse,47
Instructing,Social Skills,78,52,25-2059.01,Adapted Physical Education Specialist,78
