code,Profession,Task ID,Count,Task
13-2011.00,Accountants and Auditors,21505,1,Prepare detailed reports on audit findings.
13-2011.00,Accountants and Auditors,21506,1,"Report to management about asset utilization and audit results, and recommend changes in operations and financial activities."
13-2011.00,Accountants and Auditors,21507,1,"Collect and analyze data to detect deficient controls, duplicated effort, extravagance, fraud, or non-compliance with laws, regulations, and management policies."
13-2011.00,Accountants and Auditors,21508,1,"Inspect account books and accounting systems for efficiency, effectiveness, and use of accepted accounting procedures to record transactions."
13-2011.00,Accountants and Auditors,21509,1,"Supervise auditing of establishments, and determine scope of investigation required."
13-2011.00,Accountants and Auditors,21510,1,Confer with company officials about financial and regulatory matters.
13-2011.00,Accountants and Auditors,21511,1,"Examine and evaluate financial and information systems, recommending controls to ensure system reliability and data integrity."
13-2011.00,Accountants and Auditors,21512,1,"Inspect cash on hand, notes receivable and payable, negotiable securities, and canceled checks to confirm records are accurate."
13-2011.00,Accountants and Auditors,21513,1,Examine records and interview workers to ensure recording of transactions and compliance with laws and regulations.
13-2011.00,Accountants and Auditors,21514,1,"Prepare, examine, or analyze accounting records, financial statements, or other financial reports to assess accuracy, completeness, and conformance to reporting and procedural standards."
13-2011.00,Accountants and Auditors,21515,1,Prepare adjusting journal entries.
13-2011.00,Accountants and Auditors,21516,1,Review accounts for discrepancies and reconcile differences.
13-2011.00,Accountants and Auditors,21517,1,Establish tables of accounts and assign entries to proper accounts.
13-2011.00,Accountants and Auditors,21518,1,Examine inventory to verify journal and ledger entries.
13-2011.00,Accountants and Auditors,21519,1,"Analyze business operations, trends, costs, revenues, financial commitments, and obligations to project future revenues and expenses or to provide advice."
13-2011.00,Accountants and Auditors,21520,1,Report to management regarding the finances of establishment.
13-2011.00,Accountants and Auditors,21521,1,"Develop, implement, modify, and document recordkeeping and accounting systems, making use of current computer technology."
13-2011.00,Accountants and Auditors,21522,1,"Evaluate taxpayer finances to determine tax liability, using knowledge of interest and discount rates, annuities, valuation of stocks and bonds, and amortization valuation of depletable assets."
13-2011.00,Accountants and Auditors,21523,1,"Examine whether the organization's objectives are reflected in its management activities, and whether employees understand the objectives."
13-2011.00,Accountants and Auditors,21524,1,"Audit payroll and personnel records to determine unemployment insurance premiums, workers' compensation coverage, liabilities, and compliance with tax laws."
13-2011.00,Accountants and Auditors,21525,1,"Review taxpayer accounts, and conduct audits on-site, by correspondence, or by summoning taxpayer to office."
13-2011.00,Accountants and Auditors,21526,1,"Compute taxes owed and prepare tax returns, ensuring compliance with payment, reporting, or other tax requirements."
13-2011.00,Accountants and Auditors,21527,1,"Advise clients in areas such as compensation, employee health care benefits, the design of accounting or data processing systems, or long-range tax or estate plans."
13-2011.00,Accountants and Auditors,21528,1,Represent clients before taxing authorities and provide support during litigation involving financial issues.
13-2011.00,Accountants and Auditors,21529,1,"Direct activities of personnel engaged in filing, recording, compiling, and transmitting financial records."
13-2011.00,Accountants and Auditors,21530,1,Conduct pre-implementation audits to determine if systems and programs under development will work as planned.
13-2011.00,Accountants and Auditors,21531,1,"Develop, maintain, or analyze budgets, preparing periodic reports that compare budgeted costs to actual costs."
13-2011.00,Accountants and Auditors,21532,1,"Prepare, analyze, or verify annual reports, financial statements, and other records, using accepted accounting and statistical procedures to assess financial condition and facilitate financial planning."
13-2011.00,Accountants and Auditors,21533,1,Process invoices for payment.
13-2011.00,Accountants and Auditors,21534,1,"Review data about material assets, net worth, liabilities, capital stock, surplus, income, or expenditures."
27-2011.00,Actors,7643,1,"Study and rehearse roles from scripts to interpret, learn and memorize lines, stunts, and cues as directed."
27-2011.00,Actors,7644,1,"Work closely with directors, other actors, and playwrights to find the interpretation most suited to the role."
27-2011.00,Actors,7645,1,Learn about characters in scripts and their relationships to each other to develop role interpretations.
27-2011.00,Actors,7646,1,Collaborate with other actors as part of an ensemble.
27-2011.00,Actors,7647,1,"Perform humorous and serious interpretations of emotions, actions, and situations, using body movements, facial expressions, and gestures."
27-2011.00,Actors,7648,1,Attend auditions and casting calls to audition for roles.
27-2011.00,Actors,7649,1,"Portray and interpret roles, using speech, gestures, and body movements, to entertain, inform, or instruct radio, film, television, or live audiences."
27-2011.00,Actors,7650,1,"Work with other crew members responsible for lighting, costumes, make-up, and props."
27-2011.00,Actors,7651,1,Sing or dance during dramatic or comedic performances.
27-2011.00,Actors,7652,1,"Read from scripts or books to narrate action or to inform or entertain audiences, utilizing few or no stage props."
27-2011.00,Actors,7653,1,Promote productions using means such as interviews about plays or movies.
27-2011.00,Actors,7654,1,"Write original or adapted material for dramas, comedies, puppet shows, narration, or other performances."
27-2011.00,Actors,7655,1,"Prepare and perform action stunts for motion picture, television, or stage productions."
27-2011.00,Actors,7656,1,"Tell jokes, perform comic dances, songs and skits, impersonate mannerisms and voices of others, contort face, and use other devices to amuse audiences."
27-2011.00,Actors,7657,1,Introduce performances and performers to stimulate excitement and coordinate smooth transition of acts during events.
27-2011.00,Actors,7658,1,"Manipulate strings, wires, rods, or fingers to animate puppets or dummies in synchronization with talking, singing, or recorded programs."
27-2011.00,Actors,7659,1,"Dress in comical clown costumes and makeup, and perform comedy routines to entertain audiences."
27-2011.00,Actors,7660,1,"Perform original and stock tricks of illusion to entertain and mystify audiences, occasionally including audience members as participants."
27-2011.00,Actors,7661,1,"Construct puppets and ventriloquist dummies, and sew accessory clothing, using hand tools and machines."
15-2011.00,Actuaries,20951,1,Negotiate terms and conditions of reinsurance with other companies.
15-2011.00,Actuaries,3500,1,Ascertain premium rates required and cash reserves and liabilities necessary to ensure payment of future benefits.
15-2011.00,Actuaries,3501,1,"Analyze statistical information to estimate mortality, accident, sickness, disability, and retirement rates."
15-2011.00,Actuaries,3502,1,"Design, review, and help administer insurance, annuity and pension plans, determining financial soundness and calculating premiums."
15-2011.00,Actuaries,3503,1,"Collaborate with programmers, underwriters, accounts, claims experts, and senior management to help companies develop plans for new lines of business or improvements to existing business."
15-2011.00,Actuaries,3504,1,"Determine, or help determine, company policy, and explain complex technical matters to company executives, government officials, shareholders, policyholders, or the public."
15-2011.00,Actuaries,3508,1,"Construct probability tables for events such as fires, natural disasters, and unemployment, based on analysis of statistical data and other pertinent information."
15-2011.00,Actuaries,3509,1,Determine policy contract provisions for each type of insurance.
15-2011.00,Actuaries,3510,1,Manage credit and help price corporate security offerings.
